word,meaning,native,sentence,ipa
und,and,,Ich kaufe Brot {{und}} Milch im Supermarkt.,ʊnt
weder...noch,neither...nor,,Er isst {{weder}} Fisch {{noch}} Fleisch.,ˈveːdɐ...nɔx
also,so / therefore,,"Es regnet, {{also}} bleiben wir zu Hause.",ˈalzoː
# ── Pronouns ─────────────────────────────────────────────────────────────────
ich,I,,{{Ich}} habe heute viel zu tun.,ɪç
du,you (informal),,{{Du}} bist mein bester Freund.,duː
er,he,,{{Er}} arbeitet in einem großen Büro.,eːɐ
sie,she / they / you (formal),,{{Sie}} liest jeden Tag ein Buch.,ziː
es,it,,{{Es}} ist sehr kalt heute.,ɛs
wir,we,,{{Wir}} fahren morgen in den Urlaub.,viːɐ
ihr,you all,,{{Ihr}} müsst heute die Hausaufgaben machen.,iːɐ
mich,me,,Bitte rufen {{mich}} morgen an.,mɪç
sich,himself / herself,,Der Mann zieht {{sich}} schnell an.,zɪç
mein,my,,{{Mein}} Auto ist rot und neu.,maɪn
dein,your (informal),,Wo ist {{dein}} Schulrucksack heute?,daɪn
unser,our,,{{Unser}} Haus liegt in der Stadt.,ˈʊnzɐ
dieser,this,,{{Dieser}} Film ist sehr interessant.,ˈdiːzɐ
jener,that,,{{Jener}} Mann dort ist mein Nachbar.,ˈjeːnɐ
etwas,something,,Ich möchte {{etwas}} Wasser trinken bitte.,ˈɛtvəs
nichts,nothing,,Ich habe {{nichts}} zum Essen gefunden.,nɪçts
jemand,someone,,{{Jemand}} hat an der Tür geklopft.,ˈjeːmant
niemand,nobody,,{{Niemand}} wollte mir helfen gestern.,ˈniːmant
alles,everything,,Ich habe {{alles}} für die Party vorbereitet.,ˈaləs
# ── Numbers ──────────────────────────────────────────────────────────────────
eins,one,,Ich habe nur {{eins}} Bruder gehabt.,aɪns
zwei,two,,Ich habe {{zwei}} Schwestern im Haus.,tsvai
drei,three,,Wir haben {{drei}} Katzen zu Hause.,drai
vier,four,,Ein Auto hat {{vier}} Reifen normal.,fiːɐ
fünf,five,,Die Hand hat {{fünf}} Finger insgesamt.,fʏnf
sechs,six,,Ein Würfel hat {{sechs}} Seiten.,zɛks
sieben,seven,,Eine Woche hat {{sieben}} Tage.,ˈziːbən
acht,eight,,Das Jahr hat {{acht}} Monate Winter.,axt
neun,nine,,Der März ist der {{neun}}te Monat.,nɔɪn
zehn,ten,,Ich bin {{zehn}} Jahre alt.,tseːn
elf,eleven,,Es ist {{elf}} Uhr am Morgen.,ɛlf
zwölf,twelve,,Ein Jahr hat {{zwölf}} Monate insgesamt.,tsvœlf
zwanzig,twenty,,Ich verdiene {{zwanzig}} Euro pro Stunde.,ˈtsvantsiç
dreißig,thirty,,Mein Vater ist {{dreißig}} Jahre alt.,ˈdraɪ̯sɪç
vierzig,forty,,Im Jahr {{vierzig}} war Krieg.,ˈfiːɐ̯tsiç
fünfzig,fifty,,Die Temperatur steigt auf {{fünfzig}} Grad.,ˈfʏnftsiç
hundert,one hundred,,Ein Jahrhundert hat {{hundert}} Jahre.,ˈhʊndɐt
tausend,one thousand,,Diese Stadt hat {{tausend}} Einwohner.,ˈtaʊ̯zənt
Million,one million,,Diese Stadt hat zwei {{Million}} Einwohner.,mɪˈljoːn
erste,first,,Der {{erste}} Tag der Woche ist Montag.,ˈɛɐ̯stə
letzte,last,,Der {{letzte}} Tag des Jahres ist heute.,ˈlɛtstə
# ── Question words ───────────────────────────────────────────────────────────
was,what,,{{Was}} möchtest du zum Frühstück essen?,vas
wer,who,,{{Wer}} ist dein bester Freund?,veːɐ
welcher,which,,{{Welcher}} Film magst du am liebsten?,ˈvɛlçɐ
wann,when,,{{Wann}} kommt dein Freund zu Besuch nach Hause?,van
wie viel,how much,,{{Wie viel}} Zucker brauchst du für den Kuchen?,viː ˈfiːl
warum,why,,{{Warum}} magst du diese Musik so gerne?,vaˈʁuːm
# ── Days of the week ─────────────────────────────────────────────────────────
Montag,Monday,,Nächsten {{Montag}} haben wir einen wichtigen Termin im Büro.,ˈmoːntaːk
Dienstag,Tuesday,,Am {{Dienstag}} gehe ich immer zum Fitnessstudio trainieren.,ˈdiːnstaːk
Mittwoch,Wednesday,,Der {{Mittwoch}} ist mein Lieblingswochentag zum Einkaufen gehen.,ˈmɪtvɔx
Donnerstag,Thursday,,{{Donnerstag}} abends treffe ich meine Freunde im Restaurant.,ˈdɔnɐstaːk
Freitag,Friday,,Am {{Freitag}} beginnt endlich das langersehnte Wochenende für uns.,ˈfʁaɪtaːk
Samstag,Saturday,,{{Samstag}} morgens schlafe ich lange und bin nicht gehetzt.,ˈzamstaːk
Sonntag,Sunday,,Am {{Sonntag}} besuche ich meine Großeltern zum gemeinsamen Mittagessen.,ˈzɔntaːk
# ── Months ───────────────────────────────────────────────────────────────────
Januar,January,,Im {{Januar}} ist es sehr kalt und oft schneereich.,ˈjanʊaːɐ
Februar,February,,Der {{Februar}} hat in Deutschland durchschnittlich weniger Tage als andere.,ˈfeːbʁʊaːɐ
März,March,,Im {{März}} beginnt der Frühling und die Natur erwacht.,mɛʁts
April,April,,Der {{April}} bringt Regen und wechselhaftes Wetter mit sich.,aˈpʁɪl
Mai,May,,Im {{Mai}} blühen überall wunderbare Blumen in den Gärten.,maɪ
Juni,June,,Der {{Juni}} ist ideal für Urlaub und Sommerfeste.,ˈjuːni
Juli,July,,Im {{Juli}} ist es meistens sehr warm und sonnig.,ˈjuːli
August,August,,Der {{August}} ist perfekt für Ausflüge ans Meer oder Meer.,aʊˈɡʊst
September,September,,Im {{September}} beginnt die Schule wieder nach den Sommerferien.,zɛpˈtɛmbɐ
Oktober,October,,Der {{Oktober}} bringt bunte Blätter und kühlere Temperaturen mit.,ɔkˈtoːbɐ
November,November,,Im {{November}} werden die Tage merklich kürzer und dunkler.,noˈvɛmbɐ
Dezember,December,,Der {{Dezember}} ist der Monat der Weihnachtszeit und Festlichkeiten.,deˈtsɛmbɐ
# ── Seasons ──────────────────────────────────────────────────────────────────
der Frühling,spring,,Im {{Frühling}} erwachen die Natur und alle Blumen wieder.,deːɐ ˈfʁyːlɪŋ
der Sommer,summer,,Der {{Sommer}} ist die schönste Jahreszeit zum Reisen.,deːɐ ˈzɔmɐ
der Herbst,autumn / fall,,Im {{Herbst}} färben sich die Blätter wunderbar bunt.,deːɐ ˈhɛʁpst
der Winter,winter,,Der {{Winter}} bringt Schnee und Kälte in unsere Region.,deːɐ ˈvɪntɐ
# ── Professions ──────────────────────────────────────────────────────────────
der Lehrer,teacher,,Mein {{Lehrer}} erklärt die Mathematik sehr verständlich und geduldig.,deːɐ ˈleːʁɐ
der Anwalt,lawyer,,Der {{Anwalt}} vertritt meine Rechte vor dem Gericht professionell.,deːɐ ˈanvalt
der Ingenieur,engineer,,Der {{Ingenieur}} entwirft neue Brücken und komplexe Bauwerke.,deːɐ ɪnʒəˈnøːɐ
der Architekt,architect,,Der {{Architekt}} plant das Design des neuen Hauses.,deːɐ aɐ̯çɪˈtɛkt
der Koch,chef / cook,,Der {{Koch}} bereitet köstliche Gerichte in der Restaurantküche.,deːɐ kɔx
der Musiker,musician,,Der {{Musiker}} spielt wunderschön Klavier auf der Bühne.,deːɐ muˈziːkɐ
der Künstler,artist,,Der {{Künstler}} malt beeindruckende Bilder mit verschiedenen Farben.,deːɐ ˈkʏnstlɐ
der Schriftsteller,writer,,Der {{Schriftsteller}} schreibt fesselnde Romane und spannende Geschichten.,deːɐ ˈʃʁɪftʃtɛlɐ
der Journalist,journalist,,Der {{Journalist}} recherchiert und schreibt für die Zeitung.,deːɐ ʒoʊɐ̯naˈlɪst
der Wissenschaftler,scientist,,Der {{Wissenschaftler}} führt wichtige Experimente im Labor durch.,deːɐ ˈvɪsənʃaftlɐ
der Zahnarzt,dentist,,Der {{Zahnarzt}} kümmert sich um meine Zahngesundheit sehr gut.,deːɐ ˈtsuːnʔaɐ̯tst
der Apotheker,pharmacist,,Der {{Apotheker}} verkauft Medikamente und berät die Patienten.,deːɐ apoˈteːkɐ
der Feuerwehrmann,firefighter,,Der {{Feuerwehrmann}} löscht Brände und rettet Menschen in Gefahr.,deːɐ ˈfɔɪɐveːɐman
der Pilot,pilot,,Der {{Pilot}} steuert das Flugzeug sicher über die Wolken.,deːɐ piˈloːt
der Fahrer,driver,,Der {{Fahrer}} bringt Passagiere sicher zu ihrem Ziel.,deːɐ ˈfaːʁɐ
der Mechaniker,mechanic,,Der {{Mechaniker}} repariert mein Auto sehr zuverlässig und schnell.,deːɐ meˈxaːnɪkɐ
der Elektriker,electrician,,Der {{Elektriker}} installiert die neuen elektrischen Leitungen im Haus.,deːɐ ɛˈlɛktrɪkɐ
der Zimmermann,carpenter,,Der {{Zimmermann}} baut wunderbare Möbel aus hochwertigem Holz.,deːɐ ˈtsɪmɐman
der Gärtner,gardener,,Der {{Gärtner}} pflegt wunderschöne Blumen und Pflanzen täglich.,deːɐ ˈɡɛʁtnɐ
der Kellner,waiter,,Der {{Kellner}} bedient die Gäste höflich und professionell.,deːɐ ˈkɛlnɐ
der Angestellte,employee,,Der {{Angestellte}} arbeitet fleißig im Büro an seinen Aufgaben.,deːɐ ˈanɡəʃtɛltə
der Chef,boss,,Der {{Chef}} leitet das Unternehmen und trifft wichtige Entscheidungen.,deːɐ ʃɛf
der Direktor,director,,Der {{Direktor}} verwaltet die Schule mit großer Verantwortung.,deːɐ diˈʁɛktoːɐ
der Manager,manager,,Der {{Manager}} koordiniert alle Projekte im Team effizient.,deːɐ ˈmænɪdʒɐ
der Sekretär,secretary,,{{Der Sekretär}} beantwortet Anrufe und verwaltet Termine.,deːɐ̯ ˌzekʁeˈtɛːɐ̯
der Buchhalter,accountant,,{{Der Buchhalter}} prüft alle Rechnungen und Ausgaben.,deːɐ̯ ˈbuːxˌhaltɐ
der Ökonom,economist,,{{Der Ökonom}} analysiert wirtschaftliche Trends und Märkte.,deːɐ̯ ˌøkoˈnoːm
der Psychologe,psychologist,,{{Der Psychologe}} hilft Menschen mit emotionalen Problemen.,deːɐ̯ psʏçoˈloːɡə
der Soziologe,sociologist,,{{Der Soziologe}} erforscht das Verhalten von Gesellschaften.,deːɐ̯ ˌzotsioˈloːɡə
der Historiker,historian,,{{Der Historiker}} untersucht vergangene Ereignisse und Kulturen.,deːɐ̯ hɪˈstoːɐ̯ikɐ
# ── More verbs ───────────────────────────────────────────────────────────────
diskutieren,to discuss,,Wir {{diskutieren}} über die neuen Projektideen im Team.,dɪskuˈtiːʁən
vergleichen,to compare,,Sie {{vergleichen}} die Preise verschiedener Lieferanten sorgfältig.,fɛɐ̯ˈɡlaɪ̯çən
analysieren,to analyse,,Der Experte {{analysiert}} die Daten für den Bericht.,ˌanaˈlyːziːʁən
planen,to plan,,Wir {{planen}} die Konferenz für nächsten Monat.,ˈplaːnən
organisieren,to organize,,Maria {{organisiert}} alle Meetings und Termine im Büro.,ˌɔɐ̯ɡaniˈziːʁən
kontrollieren,to control,,Der Manager {{kontrolliert}} die Qualität der Produkte täglich.,ˌkɔntʁoˈliːʁən
messen,to measure,,Sie {{messen}} die genaue Größe des neuen Raumes.,ˈmɛsən
renovieren,to renovate,,Das Unternehmen {{renoviert}} das alte Bürogebäude komplett.,ˌʁenovˈiːʁən
reparieren,to repair,,Der Techniker {{repariert}} den defekten Computer schnell.,ˌʁepaˈʁiːʁən
installieren,to install,,Morgen {{installieren}} wir die neue Sicherheitssystem im Haus.,ˌɪnstaˈliːʁən
verbinden,to connect,,Das Netzwerk {{verbindet}} alle Computer im Büro miteinander.,fɛɐ̯ˈbɪndən
herunterladen,to download,,Bitte {{laden}} Sie die Datei vom Server {{herunter}}.,ˌheːɐ̯ˈʊntɐˌlaːdən
hochladen,to upload,,Ich {{lade}} die fertige Präsentation ins Portal {{hoch}}.,ˈhoːxˌlaːdən
programmieren,to program,,Der Entwickler {{programmiert}} die neue mobile Anwendung.,ˌpʁoɡʁaˈmiːʁən
entwerfen,to design,,Die Designerin {{entwirft}} innovative Konzepte für Produkte.,ʔɛntˈvɛɐ̯fən
erfinden,to invent,,Einstein {{erfand}} revolutionäre Theorien in der Physik.,ʔɛɐ̯ˈfɪndən
entdecken,to discover,,Forscher {{entdecken}} neue Arten im tropischen Regenwald.,ʔɛntˈdɛkən
untersuchen,to investigate,,Der Arzt {{untersucht}} den Patienten gründlich in der Klinik.,ˈʊntɐˌzuːxən
studieren,to study,,Sie {{studiert}} Medizin an der Universität München.,ʃtuˈdiːʁən
üben,to practise,,Der Sportler {{übt}} täglich für die Olympischen Spiele.,ˈyːbən
konkurrieren,to compete,,Diese beiden Unternehmen {{konkurrieren}} um denselben Markt.,ˌkɔŋkuˈʁiːʁən
genießen,to enjoy,,Wir {{genießen}} das Mittagessen im neuen Restaurants.,ɡəˈniːsən
leiden,to suffer,,Viele Menschen {{leiden}} unter chronischen Schmerzstörungen.,ˈlaɪ̯dən
pflegen,to take care of,,Sie {{pflegt}} ihre betagte Mutter mit großer Liebe.,ˈpfleːɡən
retten,to save / to rescue,,Die Feuerwehr {{rettet}} die Katze aus dem Baum.,ˈʁɛtən
teilen,to share,,Wir {{teilen}} die Ergebnisse mit allen Mitarbeitern.,ˈtaɪ̯lən
altern,to age,,Holz {{altert}} mit der Zeit und verfärbt sich.,ˈaltɐn
kooperieren,to cooperate,,Die beiden Länder {{kooperieren}} in Fragen der Sicherheit.,ˌkoʔopeˈʁiːʁən
verhandeln,to negotiate,,Die Diplomaten {{verhandeln}} über neue Handelsabkommen heute.,fɛɐ̯ˈhandəln
einstellen,to hire,,Das Unternehmen {{stellt}} diesen Monat zehn neue Mitarbeiter {{ein}}.,ˈaɪ̯nˌʃtɛlən
exportieren,to export,,Deutschland {{exportiert}} Autos in über hundert Länder.,ˌɛkspoɐ̯ˈtiːʁən
importieren,to import,,Viele Länder {{importieren}} Rohöl aus dem Nahen Osten.,ˌɪmpoɐ̯ˈtiːʁən
regieren,to govern,,Der Präsident {{regiert}} das Land seit fünf Jahren.,ʁeˈɡiːʁən
dekorieren,to decorate,,Sie {{dekoriert}} das Klassenzimmer für das Schulfest festlich.,ˌdekoˈʁiːʁən
beraten,to advise,,Der Anwalt {{berät}} seine Klient zu rechtlichen Fragen.,bəˈʁaːtən
genehmigen,to approve,,Der Chef {{genehmigt}} den Urlaubsantrag sofort und schriftlich.,ɡəˈneːmɪɡən
anwenden,to apply,,Wir {{wenden}} diese Methode bei allen Projekten {{an}}.,ˈanˌvɛndən
mischen,to mix,,Der Barkeeper {{mischt}} einen leckeren Cocktail für uns.,ˈmɪʃən
vorbereiten,to prepare,,Sie {{bereitet}} das Essen schon am Vorabend {{vor}}.,ˈfoːɐ̯bəˌʁaɪ̯tən
servieren,to serve,,Der Kellner {{serviert}} das Abendessen mit großer Eleganz.,zɛɐ̯ˈviːʁən
leihen,to borrow / to lend,,Ich {{leihe}} dir mein Fahrrad für zwei Tage.,ˈlaɪ̯ən
verschütten,to spill,,"Oh nein, ich {{verschütte}} Kaffee auf meinem Hemd.",fɛɐ̯ˈʃʏtən
überwachen,to monitor,,Kameras {{überwachen}} alle Eingänge des Gebäudes rund um Uhr.,ˈyːbɐˌvaxən
schützen,to protect,,Ein Regenschirm {{schützt}} uns vor starkem Regen gut.,ˈʃʏtsən
ermutigen,to encourage,,Der Trainer {{ermutigt}} die Spieler vor dem wichtigen Spiel.,ɛɐ̯ˈmuːtɪɡən
autorisieren,to authorize,,Der Chef {{autorisiert}} den neuen Mitarbeiter für diese Aufgabe.,ʔaʊ̯toɾiˈziːʁən
erkennen,to recognize,,Ich {{erkenne}} meinen alten Freund sofort in der Menge.,ɛɐ̯ˈkɛnən
identifizieren,to identify,,Die Polizei {{identifiziert}} den Täter anhand der Fingerabdrücke.,ɪdɛntɪfiˈziːʁən
bestätigen,to confirm,,Der Arzt {{bestätigt}} die Diagnose nach weiteren Untersuchungen.,bəˈʃtɛːtɪɡən
stornieren,to cancel,,Wir {{stornieren}} die Buchung aufgrund der Änderungen.,ʃtɔɐ̯niˈʁən
verschieben,to postpone,,Das Unternehmen {{verschiebt}} die Konferenz um zwei Wochen.,fɛɐ̯ˈʃiːbən
sich verabschieden,to say goodbye,,Sie {{verabschiedet}} sich von ihren Kollegen nach dem Projekt.,zɪç fɛɐ̯ˈʔapʃiːdən
beglückwünschen,to congratulate,,Wir {{beglückwünschen}} den Gewinner herzlich zum großen Erfolg.,bəˈɡlʏkˌvʏnʃən
# ── More nouns ───────────────────────────────────────────────────────────────
die Demokratie,democracy,,In {{der Demokratie}} haben alle Bürger das Wahlrecht.,demoˈkʁaːtiː
die Diktatur,dictatorship,,Unter {{einer Diktatur}} gibt es keine Meinungsfreiheit.,dɪktaˈtuːɐ̯
die Wahl,election,,{{Die Wahl}} findet alle vier Jahre statt.,vaːl
die Partei,political party,,Er tritt {{der Partei}} nach langer Überlegung bei.,paɐ̯ˈtaɪ̯
die Steuer,tax,,Jeder Bürger muss {{die Steuer}} pünktlich bezahlen.,ˈʃtɔɪ̯ɐ
die Schulden,debt,,Das Land hat {{große Schulden}} von Millionen Euro.,ˈʃʊldən
das Interesse,interest,,Mein {{Interesse}} an Kunst wächst jeden Tag.,ɪntəˈʁɛsə
die Investition,investment,,{{Die Investition}} in Bildung bringt langfristige Vorteile.,ɪnvɛstiˈtsi̯oːn
der Gewinn,profit,,Das Unternehmen erzielte {{einen Gewinn}} von über eine Million.,ɡəˈvɪn
der Verlust,loss,,Der {{Verlust}} hat das Unternehmen schwer belastet.,fɛɐ̯ˈlʊst
das Budget,budget,,Wir müssen {{das Budget}} für nächstes Jahr planen.,bʏˈdʒeː
der Vertrag,contract,,{{Der Vertrag}} wurde von beiden Seiten unterzeichnet.,fɛɐ̯ˈtʁaːk
die Vereinbarung,agreement,,{{Die Vereinbarung}} ist bindend für alle Parteien.,fɛɐ̯ˈʔaɪ̯nbaːʁʊŋ
die Regel,rule,,Nach {{der Regel}} dürfen keine Ausnahmen gemacht werden.,ˈʁeːɡəl
die Vorschrift,regulation,,{{Die Vorschrift}} muss von allen eingehalten werden.,ˈfoːɐ̯ʃʁɪft
die Institution,institution,,{{Die Institution}} bietet vielen Menschen Bildung an.,ɪnstɪˈtuːtsi̯oːn
die Organisation,organization,,{{Die Organisation}} plant die nächste große Veranstaltung.,ɔɐ̯ɡanɪzaˈtsi̯oːn
der Verein,association / club,,Ich bin Mitglied {{eines Vereins}} für Sportbegeisterte.,fɛɐ̯ˈʔaɪ̯n
die Besprechung,meeting,,{{Die Besprechung}} beginnt um neun Uhr morgens.,bəˈʃpʁɛçʊŋ
die Konferenz,conference,,{{Die Konferenz}} bringt Experten aus verschiedenen Ländern zusammen.,kɔnfeˈʁɛnts
der Bericht,report,,{{Der Bericht}} zeigt positive Ergebnisse für dieses Jahr.,bəˈʁɪçt
die Statistik,statistic,,{{Die Statistik}} belegt einen Anstieg der Arbeitslosigkeit.,ʃtaˈtɪstɪk
die Forschung,research,,{{Die Forschung}} hat neue medizinische Durchbrüche gebracht.,ˈfɔɐ̯ʃʊŋ
das Experiment,experiment,,{{Das Experiment}} zeigt interessante Ergebnisse im Labor.,ɛkspeʁɪˈmɛnt
das Labor,laboratory,,Wissenschaftler arbeiten im {{Labor}} an neuen Lösungen.,laˈboːɐ̯
die Klinik,clinic,,Der Patient geht zur {{Klinik}} für die Operation.,ˈkliːnɪk
die Apotheke,pharmacy,,Ich hole mein Medikament in {{der Apotheke}} ab.,ʔapoˈteːkə
das Rezept,recipe / prescription,,Der Arzt schreibt mir {{ein Rezept}} auf.,ʁeˈtsɛpt
die Diagnose,diagnosis,,{{Die Diagnose}} war überraschend für den Patienten.,diaɡˈnoːzə
das Symptom,symptom,,{{Das Symptom}} deutet auf eine Erkältung hin.,zʏmpˈtoːm
der Impfstoff,vaccine,,{{Der Impfstoff}} schützt vor dieser schweren Krankheit.,ˈɪmpfʃtɔf
die Operation,operation / surgery,,{{Die Operation}} war erfolgreich und komplikationslos.,ɔpeʁaˈtsi̯oːn
die Therapie,therapy,,{{Die Therapie}} hilft dem Patienten bei der Heilung.,teʁaˈpiː
die Psychologie,psychology,,{{Die Psychologie}} erforscht das menschliche Verhalten und Denken.,psʏçoloˈɡiː
der Stress,stress,,{{Der Stress}} bei der Arbeit belastet die Gesundheit.,ʃtʁɛs
die Depression,depression,,{{Die Depression}} erfordert professionelle medizinische Behandlung.,dɛpʁɛˈsi̯oːn
die Zone,zone,,{{Die Zone}} ist für Fußgänger reserviert.,ˈtsoːnə
das Viertel,neighbourhood / quarter,,Ich wohne in einem alten {{Viertel}} der Stadt.,ˈfiɐ̯təl
die Grenze,border,,{{Die Grenze}} zwischen den beiden Ländern ist gesichert.,ˈɡʁɛntsə
das Gebiet,territory / area,,{{Das Gebiet}} ist sehr dünn besiedelt und waldreich.,ɡəˈbiːt
die Provinz,province,,In {{der Provinz}} lebt man ruhiger als in der Stadt.,pʁoˈvɪnts
die Gemeinde,municipality,,Die {{Gemeinde}} hat neue Schulen gebaut.,diː ɡəˈmaɪ̯ndə
das Dorf,village,,Im {{Dorf}} kennen sich alle Menschen.,das dɔʁf
der Keller,basement,,Wir lagern Wein im {{Keller}} unseres Hauses.,deːɐ̯ ˈkɛlɐ
der Dachboden,attic,,Alte Kisten stehen auf dem {{Dachboden}}.,deːɐ̯ ˈdaxboːdən
die Terrasse,terrace,,Wir frühstücken gerne auf der {{Terrasse}}.,diː tɛˈʁasə
der Balkon,balcony,,Von unserem {{Balkon}} sehen wir die Stadt.,deːɐ̯ balˈkoːn
der Aufzug,lift / elevator,,Der {{Aufzug}} fährt bis zum zehnten Stock.,deːɐ̯ ˈaʊ̯fʦuːk
die Treppe,staircase,,Die {{Treppe}} führt direkt in den Garten.,diː ˈtʁɛpə
der Flur,corridor / hallway,,Im {{Flur}} hängen viele Gemälde an der Wand.,deːɐ̯ fluːɐ̯
das Holz,wood,,Der Tisch ist aus edlem {{Holz}} gefertigt.,das hɔlʦ
das Metall,metal,,Das Geländer besteht aus robustem {{Metall}}.,das mɛˈtal
der Kunststoff,plastic,,Diese Fenster sind aus modernem {{Kunststoff}} hergestellt.,deːɐ̯ ˈkʊnstʃtɔf
das Glas,glass,,Die Vase ist aus durchsichtigem {{Glas}} gemacht.,das ɡlaːs
das Papier,paper,,Ich schreibe die Liste auf {{Papier}}.,das paˈpiːɐ̯
der Stoff,fabric,,Der {{Stoff}} dieser Couch ist sehr weich.,deːɐ̯ ˈʃtɔf
die Wolle,wool,,Mein Pullover ist aus reiner {{Wolle}}.,diː ˈvɔlə
die Baumwolle,cotton,,Das Hemd besteht aus {{Baumwolle}}.,diː ˈbaʊ̯mvɔlə
das Leder,leather,,Die Schuhe sind aus hochwertigem {{Leder}}.,das ˈleːdɐ
die Seide,silk,,Das Kleid ist aus glänzender {{Seide}}.,diː ˈzaɪ̯də
das Parfüm,perfume,,Mein Lieblings{{Parfüm}} kostet fünfzig Euro.,das paʁˈfʏm
die Seife,soap,,Die {{Seife}} riecht nach Rosen und Lavendel.,diː ˈzaɪ̯fə
das Shampoo,shampoo,,Ich kaufe {{Shampoo}} für trockenes Haar.,das ʃamˈpuː
die Zahnbürste,toothbrush,,Meine {{Zahnbürste}} ist blau und elektrisch.,diː ˈʦaːnbʏʁstə
die Zahnpasta,toothpaste,,Die {{Zahnpasta}} für weiße Zähne wirkt sehr gut.,diː ˈʦaːnpasta
der Rasierapparat,razor,,Mein {{Rasierapparat}} ist sehr präzise und praktisch.,deːɐ̯ ʁaˈziːɐ̯apaˈraːt
der Spiegel,mirror,,Ich schaue in den {{Spiegel}} im Badezimmer.,deːɐ̯ ˈʃpiːɡəl
das Handtuch,towel,,Das {{Handtuch}} ist nach dem Duschen nass.,das ˈhanttʊx
das Kissen,pillow,,Mein {{Kissen}} ist sehr bequem und weich.,das ˈkɪsən
die Matratze,mattress,,Die neue {{Matratze}} ist sehr komfortabel.,diː maˈtʁaʦə
das Möbel,furniture,,Dieses {{Möbel}} passt perfekt in unser Wohnzimmer.,das ˈmøːbəl
das Sofa,sofa,,Wir sitzen gemütlich auf dem {{Sofa}}.,das ˈzoːfa
der Sessel,armchair,,Der {{Sessel}} in der Ecke ist sehr gemütlich.,deːɐ̯ ˈzɛsəl
der Tisch,table,,Der {{Tisch}} ist aus dunklem Eichenholz.,deːɐ̯ tɪʃ
der Stuhl,chair,,Mein {{Stuhl}} bei der Arbeit ist ergonomisch.,deːɐ̯ ʃtuːl
der Schreibtisch,desk,,Auf meinem {{Schreibtisch}} steht ein Computer.,deːɐ̯ ˈʃʁaɪ̯ptɪʃ
die Lampe,lamp,,Die {{Lampe}} spendet warmes Licht im Zimmer.,diː ˈlampə
der Vorhang,curtain,,Der {{Vorhang}} schützt vor neugierigen Blicken draußen.,deːɐ̯ ˈfoːɐ̯haŋ
der Teppich,carpet / rug,,Der {{Teppich}} im Wohnzimmer ist rot und groß.,deːɐ̯ ˈtɛpɪç
das Regal,shelf,,Meine Bücher stehen in dem {{Regal}}.,das ʁeˈɡaːl
die Schublade,drawer,,In dieser {{Schublade}} bewahrte ich Dokumente auf.,diː ˈʃuːpladə
der Kleiderschrank,wardrobe,,Meine Kleidung hängt im {{Kleiderschrank}} neben dem Bett.,deːɐ̯ ˈklaɪ̯dɐʃʁaŋk
der Kühlschrank,fridge,,Der {{Kühlschrank}} ist immer voller Lebensmittel.,deːɐ̯ ˈkʏːlʃʁaŋk
der Ofen,oven,,Im {{Ofen}} backe ich gerne Brot und Kuchen.,deːɐ̯ ˈoːfən
die Mikrowelle,microwave,,Die {{Mikrowelle}} wärmt das Essen schnell auf.,diː ˈmikʁoveːlə
die Spülmaschine,dishwasher,,Die {{Spülmaschine}} wäscht das Geschirr automatisch.,diː ˈʃpʏlmaʃiːnə
die Waschmaschine,washing machine,,Die {{Waschmaschine}} wäscht unsere Kleidung gründlich.,diː ˈvaʃmaʃiːnə
die Klimaanlage,air conditioner,,Die {{Klimaanlage}} kühlt das Büro angenehm herunter.,diː ˈkliːmaʔanlaːɡə
die Heizung,heating,,Die {{Heizung}} wärmt das Haus im Winter.,diː ˈhaɪ̯ʦʊŋ
# ── More adjectives ──────────────────────────────────────────────────────────
verantwortlich,responsible,,Ich bin {{verantwortlich}} für das Projekt.,fɛɐ̯ˈantvoʁtlɪç
fähig,capable,,"Sie ist sehr {{fähig}}, diese Aufgabe zu erfüllen.",ˈfɛːɪç
verfügbar,available,,Das Buch ist in der Bibliothek {{verfügbar}}.,fɛɐ̯ˈfʏkbaːɐ̯
zugänglich,accessible,,Die Webseite ist für alle {{zugänglich}}.,ˈtsuːkɛŋlɪç
nachhaltig,sustainable,,Wir kaufen {{nachhaltig}} produzierte Kleidung.,ˈnaχhalːtɪç
effizient,efficient,,Diese Methode ist sehr {{effizient}} und spart Zeit.,ɛfɪˈtsi̯ɛnt
produktiv,productive,,Sie war heute {{produktiv}} und hat viel geschafft.,pʁoːdʊkˈtiːf
kreativ,creative,,Der Künstler hat eine {{kreative}} Lösung gefunden.,kʁeːaˈtiːf
innovativ,innovative,,Das Unternehmen entwickelt {{innovative}} Technologien.,ɪnoːvaˈtiːf
digital,digital,,Wir arbeiten mit {{digitalen}} Werkzeugen zusammen.,dɪçɪˈtaːl
virtuell,virtual,,Das Meeting findet {{virtuell}} über Zoom statt.,vɪɐ̯tuˈɛl
global,global,,Die Firma hat {{globale}} Geschäftspartner weltweit.,ɡloːˈbaːl
regional,regional,,Der {{regionale}} Markt ist sehr wichtig für uns.,ʁeːɡioːˈnaːl
städtisch,urban,,Das {{städtische}} Leben ist manchmal sehr stressig.,ˈʃtɛdːtɪʃ
ländlich,rural,,Sie lebt gerne in {{ländlicher}} Umgebung und Ruhe.,ˈlɛntlɪç
traditionell,traditional,,In der Familie gibt es {{traditionelle}} Weihnachtsbräuche.,tʁadɪʦioːˈnɛl
